,Category Rank,Athlete,Country Code,Country Code.1,Country or State Code,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Event,Division,Class,Unnamed: 12
135,136,IZZARD Alan,,2635,Kyujutsu Archery Club,200,136,184,138,384,6,10,RM,R,M,
136,137,LOWE Peter,,731,Meriden Archery Club,193,138,189,135,382,5,10,RM,R,M,
137,138,MANTRAVADI Pardha,,464,West Essex Bowmen,180,140,195,134,375,7,10,RM,R,M,
138,139,HALL Richard,,2652,Grey Goose Archers,207,131,164,142,371,8,12,RM,R,M,
139,140,MIELNICZUK Rafal,,2663,Archery Fit London,191,139,170,140,361,8,11,RM,R,M,
140,141,BOND Michael,,AGBWAR,Archery GB,177,142,182,139,359,4,12,RM,R,M,
141,142,SHEPHERD Russell,,564,Black & Gold Archers,142,148,187,136,329,4,9,RM,R,M,
142,143,YAU Yuting,,AGBPER,Archery GB,154,144,161,144,315,6,3,RM,R,M,
143,144,HOWLAND Peter,,790,Isle of Man Archery Club,150,146,162,143,312,2,8,RM,R,M,
144,145,MAHMOOD Jameel,,313,Bromley AC,153,145,143,145,296,2,5,RM,R,M,
145,146,LOCK Brian,,1210,Noak Hill Archers,245,101,40,148,285,8,7,RM,R,M,
146,147,BROWN Shane,,AGBNHA,Archery GB,148,147,136,146,284,3,6,RM,R,M,
147,148,PARKINSON Andrew,,668,Bowmen of the Tors,97,149,99,147,196,0,3,RM,R,M,
148,1,PITMAN Bryony,,AGBDUR,Archery GB,293,1,291,2,584,44,16,RW,R,W,
149,2,BETTLES Sarah,,1210,Noak Hill Archers,290,2,290,3,580,41,18,RW,R,W,
150,3,SAGOO Jaspreet,,2627,Peacock Archers,285,5,292,1,577,42,13,RW,R,W,
151,4,PIPER Louisa,,246,Woking Archery Club,288,3,288,4,576,36,24,RW,R,W,
152,5,BIRCH Charlotte,,2595,Wallingford Castle Archers,285,4,282,7,567,33,23,RW,R,W,
153,6,CASTLE Sophie,,346,Dover Castle Archers,281,8,285,5,566,35,17,RW,R,W,
154,7,HEALEY Penny,,780,Bowbrook Archers,277,13,283,6,560,26,29,RW,R,W,
155,8,MOON Rachel,,AGBDER,Archery GB,277,11,280,8,557,27,24,RW,R,W,
156,9,LARKINS Yulia,,312,Crystal Palace Bowmen,279,9,277,10,556,25,27,RW,R,W,
157,10,GILDER Sally,,697,Evesham AC,277,12,278,9,555,26,25,RW,R,W,
158,11,FOLKARD Naomi,,729,Royal Leamington Spa,285,6,268,26,553,27,28,RW,R,W,
159,12,ALLAWAY Sarah,,717,University of Warwick,283,7,270,21,553,25,31,RW,R,W,
160,13,HIRST Fiona,,119,Links Archers,276,14,276,11,552,30,15,RW,R,W,
161,14,KING Wendie,,458,Mayflower Archers,277,10,275,13,552,28,22,RW,R,W,
162,15,PIPER Eleanor,,246,Woking Archery Club,275,16,275,14,550,27,19,RW,R,W,
163,16,BOOTH Izabela,,786,Long Mynd A,275,18,275,16,550,21,30,RW,R,W,
164,17,FISHER Jackie,,1261,Balbardie Archers,272,20,275,12,547,25,22,RW,R,W,
165,18,RUSSELL Sarah,,532,Clophill Archery Club,272,19,274,17,546,24,22,RW,R,W,
166,19,NEWBY Imogen,,483,Braintree Bowmen,276,15,269,24,545,26,22,RW,R,W,
167,20,TAYLOR Philippa,,739,Uni of Birmingham Archery Club,267,24,275,15,542,17,30,RW,R,W,
168,21,HOMER Natasha,,203,Edinburgh Uni AC (Students),275,17,266,31,541,21,24,RW,R,W,
169,22,STEPHENSON Rebecca,,871,Rochdale Company of Archers,270,22,270,23,540,21,21,RW,R,W,
170,23,COSTALL Megan,,AGBSHR,Archery GB,271,21,267,28,538,17,28,RW,R,W,
171,24,GREEN Jodie,,225,Ditchling Archery Club,263,27,270,22,533,19,22,RW,R,W,
172,25,BURDETT Nicole,,692,Redhill Archers,263,28,269,25,532,17,23,RW,R,W,
173,26,TIPPING Rebekah,,739,Uni of Birmingham Archery Club,264,26,264,33,528,17,27,RW,R,W,
174,27,MCCORMICK Molly,,43,Lisburn City Archery Club,256,34,271,20,527,19,18,RW,R,W,
175,28,WEBSTER Collette,,1294,Cymric Archers,254,35,272,19,526,21,20,RW,R,W,
176,29,VINES Rachel,,618,Supermarine Bowmen,260,29,266,30,526,16,28,RW,R,W,
177,30,DAVIS Emma,,717,University of Warwick,266,25,258,40,524,18,21,RW,R,W,
178,31,COSTALL Rhian,,AGBSHR,Archery GB,257,33,267,28,524,15,22,RW,R,W,
